check_id,check_syntax,description
665,invalid_count({column_name}) not between {threshold}:\n  - invalid format: decimal comma,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is a number that uses  uses comma (,) as decimal indicator."
666,invalid_count({column_name}) = {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
667,invalid_count({column_name}) < {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
668,invalid_count({column_name}) > {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
669,invalid_count({column_name}) <= {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
670,invalid_count({column_name}) >= {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
671,invalid_count({column_name}) != {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
672,invalid_count({column_name}) <> {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
673,invalid_count({column_name}) between {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
674,invalid_count({column_name}) not between {threshold}:\n  - invalid format: decimal point,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is a number that uses period (.) as decimal indicator."
675,invalid_count({column_name}) = {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is an standard email: name@domain.extension"
676,invalid_count({column_name}) < {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is an standard email: name@domain.extension"
677,invalid_count({column_name}) > {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is an standard email: name@domain.extension"
678,invalid_count({column_name}) <= {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is an standard email: name@domain.extension"
679,invalid_count({column_name}) >= {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is an standard email: name@domain.extension"
680,invalid_count({column_name}) != {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is an standard email: name@domain.extension"
681,invalid_count({column_name}) <> {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is an standard email: name@domain.extension"
682,invalid_count({column_name}) between {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is an standard email: name@domain.extension"
683,invalid_count({column_name}) not between {threshold}:\n  - invalid format: email,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is an standard email: name@domain.extension"
684,invalid_count({column_name}) = {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is an integer"
685,invalid_count({column_name}) < {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is an integer"
686,invalid_count({column_name}) > {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not an integer"
687,invalid_count({column_name}) <= {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not an integer"
688,invalid_count({column_name}) >= {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not an integer"
689,invalid_count({column_name}) != {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not an integer"
690,invalid_count({column_name}) <> {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not an integer"
691,invalid_count({column_name}) between {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not an integer"
692,invalid_count({column_name}) not between {threshold}:\n  - invalid format: integer,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not an integer"
693,invalid_count({column_name}) = {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
694,invalid_count({column_name}) < {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
695,invalid_count({column_name}) > {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
696,invalid_count({column_name}) <= {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
697,invalid_count({column_name}) >= {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
698,invalid_count({column_name}) != {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
699,invalid_count({column_name}) <> {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
700,invalid_count({column_name}) between {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
701,invalid_count({column_name}) not between {threshold}:\n  - invalid format: ip address,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a standard IP address: four integers separated by period (.)"
702,invalid_count({column_name}) = {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
703,invalid_count({column_name}) < {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
704,invalid_count({column_name}) > {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
705,invalid_count({column_name}) <= {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
706,invalid_count({column_name}) >= {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
707,invalid_count({column_name}) != {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
708,invalid_count({column_name}) <> {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
709,invalid_count({column_name}) between {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
710,invalid_count({column_name}) not between {threshold}:\n  - invalid format: ipv4 address,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a standard ipv4 address: four whole numbers separated by period (.)"
711,invalid_count({column_name}) = {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
712,invalid_count({column_name}) < {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
713,invalid_count({column_name}) > {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
714,invalid_count({column_name}) <= {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
715,invalid_count({column_name}) >= {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
716,invalid_count({column_name}) != {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
717,invalid_count({column_name}) <> {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
718,invalid_count({column_name}) between {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
719,invalid_count({column_name}) not between {threshold}:\n  - invalid format: ipv6 address,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a standard ipv6 address: eight values separated by colons (:)"
720,invalid_count({column_name}) = {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
721,invalid_count({column_name}) < {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
722,invalid_count({column_name}) > {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
723,invalid_count({column_name}) <= {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
724,invalid_count({column_name}) >= {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
725,invalid_count({column_name}) != {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
726,invalid_count({column_name}) <> {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
727,invalid_count({column_name}) between {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
728,invalid_count({column_name}) not between {threshold}:\n  - invalid format: money,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point or comma + currency abbreviation."
729,invalid_count({column_name}) = {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
730,invalid_count({column_name}) < {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
731,invalid_count({column_name}) > {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
732,invalid_count({column_name}) <= {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
733,invalid_count({column_name}) >= {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
734,invalid_count({column_name}) != {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
735,invalid_count({column_name}) <> {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
736,invalid_count({column_name}) between {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
737,invalid_count({column_name}) not between {threshold}:\n  - invalid format: money comma,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal comma + currency abbreviation."
738,invalid_count({column_name}) = {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
739,invalid_count({column_name}) < {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
740,invalid_count({column_name}) > {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
741,invalid_count({column_name}) <= {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
742,invalid_count({column_name}) >= {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
743,invalid_count({column_name}) != {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
744,invalid_count({column_name}) <> {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
745,invalid_count({column_name}) between {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
746,invalid_count({column_name}) not between {threshold}:\n  - invalid format: money point,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is not a money pattern with currency symbol + decimal point + currency abbreviation."
747,invalid_count({column_name}) = {threshold}:\n  - invalid format: negative decimal,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is not a negative number that uses a comma (,) or period (.) as a decimal indicator."
748,invalid_count({column_name}) < {threshold}:\n  - invalid format: negative decimal,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is not a negative number that uses a comma (,) or period (.) as a decimal indicator."
